"","AREA","SITE","SUB","YEAR","MONTH","DAY","PAGE","LINE","SEX","LENGTH","OBSWT","PORT","User","NETWT","RNDWT"
"1",161,920,NA,1986,6,7,NA,NA,"",86,NA,"CCI","Unknown",12.8,17.1
"2",161,920,NA,1986,6,7,NA,NA,"",74,NA,"CCI","Unknown",7.9,10.5
"3",161,920,NA,1986,6,7,NA,NA,"",65,NA,"CCI","Unknown",5.2,6.9
"4",161,920,NA,1986,6,7,NA,NA,"",65,NA,"CCI","Unknown",5.2,6.9
"5",161,920,NA,1986,6,7,NA,NA,"",82,NA,"CCI","Unknown",11,14.6
"6",161,920,NA,1986,6,7,NA,NA,"",86,NA,"CCI","Unknown",12.8,17.1
"7",161,920,NA,1986,6,8,NA,NA,"",60,NA,"CCI","Unknown",4,5.3
"8",161,920,NA,1986,6,8,NA,NA,"",67,NA,"CCI","Unknown",5.7,7.6
"9",161,920,NA,1986,6,8,NA,NA,"",49,NA,"CCI","Unknown",2.1,2.8
"10",161,920,NA,1986,6,8,NA,NA,"",74,NA,"CCI","Unknown",7.9,10.5
"11",161,920,NA,1986,6,8,NA,NA,"",47,NA,"CCI","Unknown",1.8,2.4
"12",161,920,NA,1986,6,8,NA,NA,"",53,NA,"CCI","Unknown",2.7,3.6
"13",161,920,NA,1986,6,8,NA,NA,"",51,NA,"CCI","Unknown",2.4,3.1
"14",161,920,NA,1986,6,8,NA,NA,"",86,NA,"CCI","Unknown",12.8,17.1
"15",161,920,NA,1986,6,8,NA,NA,"",79,NA,"CCI","Unknown",9.7,13
"16",161,920,NA,1986,6,8,NA,NA,"",81,NA,"CCI","Unknown",10.6,14
"17",161,920,NA,1986,6,11,NA,NA,"",76,NA,"CCI","Unknown",8.6,11.4
"18",161,920,NA,1986,6,11,NA,NA,"",102,NA,"CCI","Unknown",22.3,29.6
"19",161,920,NA,1986,6,11,NA,NA,"",51,NA,"CCI","Unknown",2.4,3.1
"20",161,920,NA,1986,6,11,NA,NA,"",68,NA,"CCI","Unknown",6,8
"21",161,920,NA,1986,6,11,NA,NA,"",91,NA,"CCI","Unknown",15.4,20.5
"22",161,920,NA,1986,6,11,NA,NA,"",106,NA,"CCI","Unknown",25.2,33.6
"23",161,920,NA,1986,6,14,NA,NA,"",68,NA,"CCI","Unknown",6,8
"24",161,920,NA,1986,6,14,NA,NA,"",80,NA,"CCI","Unknown",10.1,13.5
"25",161,920,NA,1986,6,14,NA,NA,"",87,NA,"CCI","Unknown",13.3,17.7
"26",161,920,NA,1986,6,14,NA,NA,"",77,NA,"CCI","Unknown",9,11.9
"27",161,920,NA,1986,6,14,NA,NA,"",60,NA,"CCI","Unknown",4,5.3
"28",161,920,NA,1986,6,14,NA,NA,"",154,NA,"CCI","Unknown",84.7,112.6
"29",161,920,NA,1986,6,14,NA,NA,"",131,NA,"CCI","Unknown",50.1,66.7
"30",161,920,NA,1986,6,15,NA,NA,"",94,NA,"CCI","Unknown",17.1,22.7
"31",161,920,NA,1986,6,15,NA,NA,"",55,NA,"CCI","Unknown",3,4
"32",161,920,NA,1986,6,15,NA,NA,"",83,NA,"CCI","Unknown",11.4,15.2
"33",161,920,NA,1986,6,15,NA,NA,"",85,NA,"CCI","Unknown",12.3,16.4
"34",161,920,NA,1986,6,15,NA,NA,"",85,NA,"CCI","Unknown",12.3,16.4
"35",161,920,NA,1986,6,16,NA,NA,"",44,NA,"CCI","Unknown",1.5,1.9
"36",161,920,NA,1986,6,16,NA,NA,"",53,NA,"CCI","Unknown",2.7,3.6
"37",161,920,NA,1986,6,16,NA,NA,"",89,NA,"CCI","Unknown",14.3,19.1
"38",161,920,NA,1986,6,16,NA,NA,"",72,NA,"CCI","Unknown",7.2,9.6
"39",161,920,NA,1986,6,16,NA,NA,"",88,NA,"CCI","Unknown",13.8,18.4
"40",161,920,NA,1986,6,16,NA,NA,"",62,NA,"CCI","Unknown",4.4,5.9
"41",161,920,NA,1986,6,16,NA,NA,"",155,NA,"CCI","Unknown",86.5,115
"42",161,920,NA,1986,6,16,NA,NA,"",104,NA,"CCI","Unknown",23.7,31.6
"43",161,920,NA,1986,6,16,NA,NA,"",81,NA,"CCI","Unknown",10.6,14
"44",161,920,NA,1986,6,16,NA,NA,"",86,NA,"CCI","Unknown",12.8,17.1
"45",161,920,NA,1986,6,16,NA,NA,"",81,NA,"CCI","Unknown",10.6,14
"46",161,920,NA,1986,6,16,NA,NA,"",72,NA,"CCI","Unknown",7.2,9.6
"47",161,920,NA,1986,6,16,NA,NA,"",67,NA,"CCI","Unknown",5.7,7.6
"48",161,920,NA,1986,6,16,NA,NA,"",61,NA,"CCI","Unknown",4.2,5.6
"49",161,920,NA,1986,6,18,NA,NA,"",134,NA,"CCI","Unknown",53.9,71.8
"50",161,920,NA,1986,6,18,NA,NA,"",38,NA,"CCI","Unknown",0.9,1.2
"51",161,920,NA,1986,6,18,NA,NA,"",49,NA,"CCI","Unknown",2.1,2.8
"52",161,920,NA,1986,6,21,NA,NA,"",85,NA,"CCI","Unknown",12.3,16.4
"53",161,920,NA,1986,6,23,NA,NA,"",121,NA,"CCI","Unknown",38.8,51.6
"54",161,920,NA,1986,6,23,NA,NA,"",92,NA,"CCI","Unknown",16,21.2
"55",161,920,NA,1986,6,23,NA,NA,"",150,NA,"CCI","Unknown",77.8,103.4
"56",161,920,NA,1986,6,23,NA,NA,"",94,NA,"CCI","Unknown",17.1,22.7
"57",161,920,NA,1986,6,23,NA,NA,"",71,NA,"CCI","Unknown",6.9,9.2
"58",161,920,NA,1986,6,23,NA,NA,"",68,NA,"CCI","Unknown",6,8
"59",161,920,NA,1986,6,26,NA,NA,"",107,NA,"CCI","Unknown",26,34.6
"60",161,920,NA,1986,6,26,NA,NA,"",200,NA,"CCI","Unknown",197.5,262.6
"61",161,920,NA,1986,6,28,NA,NA,"",179,NA,"CCI","Unknown",137.9,183.3
"62",161,920,NA,1986,6,28,NA,NA,"",81,NA,"CCI","Unknown",10.6,14
"63",161,920,NA,1986,6,28,NA,NA,"",85,NA,"CCI","Unknown",12.3,16.4
"64",161,920,NA,1986,6,28,NA,NA,"",62,NA,"CCI","Unknown",4.4,5.9
"65",161,920,NA,1986,6,28,NA,NA,"",54,NA,"CCI","Unknown",2.8,3.8
"66",161,920,NA,1986,6,28,NA,NA,"",65,NA,"CCI","Unknown",5.2,6.9
"67",161,920,NA,1986,6,28,NA,NA,"",74,NA,"CCI","Unknown",7.9,10.5
"68",161,920,NA,1986,6,28,NA,NA,"",74,NA,"CCI","Unknown",7.9,10.5
"69",161,920,NA,1986,6,29,NA,NA,"",87,NA,"CCI","Unknown",13.3,17.7
"70",161,920,NA,1986,6,29,NA,NA,"",75,NA,"CCI","Unknown",8.2,10.9
"71",161,920,NA,1986,6,29,NA,NA,"",87,NA,"CCI","Unknown",13.3,17.7
"72",161,920,NA,1986,6,29,NA,NA,"",74,NA,"CCI","Unknown",7.9,10.5
"73",161,920,NA,1986,6,29,NA,NA,"",93,NA,"CCI","Unknown",16.5,22
"74",161,920,NA,1986,6,29,NA,NA,"",36,NA,"CCI","Unknown",0.8,1
"75",161,920,NA,1986,6,29,NA,NA,"",79,NA,"CCI","Unknown",9.7,13
"76",161,920,NA,1986,6,29,NA,NA,"",73,NA,"CCI","Unknown",7.5,10
"77",161,920,NA,1986,7,2,NA,NA,"",80,NA,"CCI","Unknown",10.1,13.5
"78",161,920,NA,1986,7,2,NA,NA,"",73,NA,"CCI","Unknown",7.5,10
"79",161,920,NA,1986,7,2,NA,NA,"",69,NA,"CCI","Unknown",6.3,8.4
"80",161,920,NA,1986,7,2,NA,NA,"",89,NA,"CCI","Unknown",14.3,19.1
"81",161,920,NA,1986,7,2,NA,NA,"",74,NA,"CCI","Unknown",7.9,10.5
"82",161,920,NA,1986,7,2,NA,NA,"",65,NA,"CCI","Unknown",5.2,6.9
"83",161,920,NA,1986,7,4,NA,NA,"",86,NA,"CCI","Unknown",12.8,17.1
"84",161,920,NA,1986,7,4,NA,NA,"",85,NA,"CCI","Unknown",12.3,16.4
"85",161,920,NA,1986,7,4,NA,NA,"",57,NA,"CCI","Unknown",3.4,4.5
"86",161,920,NA,1986,7,5,NA,NA,"",62,NA,"CCI","Unknown",4.4,5.9
"87",161,920,NA,1986,7,5,NA,NA,"",50,NA,"CCI","Unknown",2.2,2.9
"88",161,920,NA,1986,7,5,NA,NA,"",82,NA,"CCI","Unknown",11,14.6
"89",161,920,NA,1986,7,5,NA,NA,"",62,NA,"CCI","Unknown",4.4,5.9
"90",161,920,NA,1986,7,5,NA,NA,"",72,NA,"CCI","Unknown",7.2,9.6
"91",161,920,NA,1986,7,5,NA,NA,"",55,NA,"CCI","Unknown",3,4
"92",161,920,NA,1986,7,5,NA,NA,"",67,NA,"CCI","Unknown",5.7,7.6
"93",161,920,NA,1986,7,5,NA,NA,"",89,NA,"CCI","Unknown",14.3,19.1
"94",161,920,NA,1986,7,5,NA,NA,"",69,NA,"CCI","Unknown",6.3,8.4
"95",161,920,NA,1986,7,6,NA,NA,"",71,NA,"CCI","Unknown",6.9,9.2
"96",161,920,NA,1986,7,6,NA,NA,"",58,NA,"CCI","Unknown",3.6,4.8
"97",161,920,NA,1986,7,6,NA,NA,"",83,NA,"CCI","Unknown",11.4,15.2
"98",161,920,NA,1986,7,6,NA,NA,"",61,NA,"CCI","Unknown",4.2,5.6
"99",161,920,NA,1986,7,6,NA,NA,"",54,NA,"CCI","Unknown",2.8,3.8
"100",161,920,NA,1986,7,9,NA,NA,"",90,NA,"CCI","Unknown",14.9,19.8
"101",161,920,NA,1986,7,9,NA,NA,"",75,NA,"CCI","Unknown",8.2,10.9
"102",161,920,NA,1986,7,11,NA,NA,"",81,NA,"CCI","Unknown",10.6,14
"103",161,920,NA,1986,7,11,NA,NA,"",58,NA,"CCI","Unknown",3.6,4.8
"104",161,920,NA,1986,7,11,NA,NA,"",60,NA,"CCI","Unknown",4,5.3
"105",161,920,NA,1986,7,11,NA,NA,"",78,NA,"CCI","Unknown",9.3,12.4
"106",161,920,NA,1986,7,11,NA,NA,"",123,NA,"CCI","Unknown",40.9,54.4
"107",161,920,NA,1986,7,14,NA,NA,"",147,NA,"CCI","Unknown",72.8,96.9
"108",161,920,NA,1986,7,14,NA,NA,"",86,NA,"CCI","Unknown",12.8,17.1
"109",161,920,NA,1986,7,14,NA,NA,"",74,NA,"CCI","Unknown",7.9,10.5
"110",161,920,NA,1986,7,14,NA,NA,"",91,NA,"CCI","Unknown",15.4,20.5
"111",161,920,NA,1986,7,14,NA,NA,"",180,NA,"CCI","Unknown",140.4,186.7
"112",161,920,NA,1986,7,14,NA,NA,"",100,NA,"CCI","Unknown",20.9,27.8
"113",161,920,NA,1986,7,15,NA,NA,"",79,NA,"CCI","Unknown",9.7,13
"114",161,920,NA,1986,7,15,NA,NA,"",50,NA,"CCI","Unknown",2.2,2.9
"115",161,920,NA,1986,7,15,NA,NA,"",51,NA,"CCI","Unknown",2.4,3.1
"116",161,920,NA,1986,7,15,NA,NA,"",88,NA,"CCI","Unknown",13.8,18.4
"117",161,920,NA,1986,7,16,NA,NA,"",76,NA,"CCI","Unknown",8.6,11.4
"118",161,920,NA,1986,7,16,NA,NA,"",82,NA,"CCI","Unknown",11,14.6
"119",161,920,NA,1986,7,16,NA,NA,"",77,NA,"CCI","Unknown",9,11.9
"120",161,920,NA,1986,7,16,NA,NA,"",75,NA,"CCI","Unknown",8.2,10.9
"121",161,920,NA,1986,7,16,NA,NA,"",92,NA,"CCI","Unknown",16,21.2
"122",161,920,NA,1986,7,16,NA,NA,"",84,NA,"CCI","Unknown",11.9,15.8
"123",161,920,NA,1986,7,16,NA,NA,"",74,NA,"CCI","Unknown",7.9,10.5
"124",161,920,NA,1986,7,16,NA,NA,"",126,NA,"CCI","Unknown",44.2,58.8
"125",161,920,NA,1986,7,16,NA,NA,"",193,NA,"CCI","Unknown",175.9,234
"126",161,920,NA,1986,7,19,NA,NA,"",68,NA,"CCI","Unknown",6,8
"127",161,920,NA,1986,7,19,NA,NA,"",67,NA,"CCI","Unknown",5.7,7.6
"128",161,920,NA,1986,7,19,NA,NA,"",68,NA,"CCI","Unknown",6,8
"129",161,920,NA,1986,7,19,NA,NA,"",63,NA,"CCI","Unknown",4.7,6.2
"130",161,920,NA,1986,7,19,NA,NA,"",76,NA,"CCI","Unknown",8.6,11.4
"131",161,920,NA,1986,7,22,NA,NA,"",50,NA,"CCI","Unknown",2.2,2.9
"132",161,920,NA,1986,7,22,NA,NA,"",45,NA,"CCI","Unknown",1.6,2.1
"133",161,920,NA,1986,7,25,NA,NA,"",151,NA,"CCI","Unknown",79.4,105.7
"134",161,920,NA,1986,7,25,NA,NA,"",59,NA,"CCI","Unknown",3.8,5
"135",161,920,NA,1986,7,25,NA,NA,"",107,NA,"CCI","Unknown",26,34.6
"136",161,920,NA,1986,7,25,NA,NA,"",81,NA,"CCI","Unknown",10.6,14
"137",161,920,NA,1986,7,27,NA,NA,"",51,NA,"CCI","Unknown",2.4,3.1
"138",161,920,NA,1986,7,27,NA,NA,"",27,NA,"CCI","Unknown",0.3,0.4
"139",161,920,NA,1986,7,27,NA,NA,"",28,NA,"CCI","Unknown",0.3,0.4
"140",161,920,NA,1986,7,27,NA,NA,"",77,NA,"CCI","Unknown",9,11.9
"141",161,920,NA,1986,7,27,NA,NA,"",74,NA,"CCI","Unknown",7.9,10.5
"142",161,920,NA,1986,7,27,NA,NA,"",54,NA,"CCI","Unknown",2.8,3.8
"143",161,920,NA,1986,7,27,NA,NA,"",43,NA,"CCI","Unknown",1.4,1.8
"144",161,920,NA,1986,7,27,NA,NA,"",41,NA,"CCI","Unknown",1.2,1.5
"145",161,920,NA,1986,7,27,NA,NA,"",48,NA,"CCI","Unknown",1.9,2.6
"146",161,920,NA,1986,7,27,NA,NA,"",38,NA,"CCI","Unknown",0.9,1.2
"147",161,920,NA,1986,7,27,NA,NA,"",42,NA,"CCI","Unknown",1.3,1.7
"148",161,920,NA,1986,7,27,NA,NA,"",66,NA,"CCI","Unknown",5.4,7.2
"149",161,920,NA,1986,7,27,NA,NA,"",64,NA,"CCI","Unknown",4.9,6.5
"150",161,920,NA,1986,7,27,NA,NA,"",59,NA,"CCI","Unknown",3.8,5
"151",161,920,NA,1986,7,27,NA,NA,"",60,NA,"CCI","Unknown",4,5.3
"152",161,920,NA,1986,7,27,NA,NA,"",62,NA,"CCI","Unknown",4.4,5.9
"153",161,920,NA,1986,7,27,NA,NA,"",65,NA,"CCI","Unknown",5.2,6.9
"154",161,920,NA,1986,7,27,NA,NA,"",65,NA,"CCI","Unknown",5.2,6.9
"155",161,920,NA,1986,7,27,NA,NA,"",106,NA,"CCI","Unknown",25.2,33.6
"156",161,920,NA,1986,7,28,NA,NA,"",110,NA,"CCI","Unknown",28.5,37.9
"157",161,920,NA,1986,7,28,NA,NA,"",57,NA,"CCI","Unknown",3.4,4.5
"158",161,920,NA,1986,7,28,NA,NA,"",64,NA,"CCI","Unknown",4.9,6.5
"159",161,920,NA,1986,7,28,NA,NA,"",86,NA,"CCI","Unknown",12.8,17.1
"160",161,920,NA,1986,7,28,NA,NA,"",69,NA,"CCI","Unknown",6.3,8.4
"161",161,920,NA,1986,7,28,NA,NA,"",64,NA,"CCI","Unknown",4.9,6.5
"162",161,920,NA,1986,7,28,NA,NA,"",85,NA,"CCI","Unknown",12.3,16.4
"163",161,920,NA,1986,7,28,NA,NA,"",80,NA,"CCI","Unknown",10.1,13.5
"164",161,920,NA,1986,7,28,NA,NA,"",54,NA,"CCI","Unknown",2.8,3.8
"165",161,920,NA,1986,7,30,NA,NA,"",77,NA,"CCI","Unknown",9,11.9
"166",161,920,NA,1986,7,30,NA,NA,"",98,NA,"CCI","Unknown",19.6,26
"167",161,920,NA,1986,7,30,NA,NA,"",55,NA,"CCI","Unknown",3,4
"168",161,920,NA,1986,7,30,NA,NA,"",76,NA,"CCI","Unknown",8.6,11.4
