"","SFmgmtarea","YEAR","HC","vHC","HP","vHP","H","vH"
"1","CI",1996,1196,34541,1009,31865,2205,66346
"2","CI",1997,1496,126344,739,73544,2235,159029
"3","CI",1998,911,22628,545,11565,1456,35953
"4","CI",1999,953,25285,345,10125,1298,35458
"5","CI",2000,1471,47489,343,13169,1814,62897
"6","CI",2001,1527,66629,460,23801,1987,84625
"7","CI",2002,1032,28322,568,25589,1600,50570
"8","CI",2003,1602,71785,517,19289,2119,94825
"9","CI",2004,2307,325130,1004,129285,3311,426618
"10","CI",2005,1857,108829,1179,86420,3036,164317
"11","CI",2006,2700,145161,607,21025,3307,169744
"12","CI",2007,5357,448900,1655,291600,7012,737881
"13","CI",2008,5003,305809,1130,53361,6133,351649
"14","CI",2009,4022,177241,1772,229441,5794,395641
"15","CI",2010,4043,183184,1182,34969,5225,210681
"16","CI",2011,5297,336400,2180,149769,7477,478864
"17","CI",2012,3850,143641,1693,117649,5543,254016
"18","CI",2013,4144,196249,1486,85849,5630,284089
"19","CI",2014,3335,168100,985,82369,4320,254016
"20","CI",2015,2022,75625,886,51076,2908,122500
"21","CI",2016,2228,104976,884,36864,3112,138384
"22","CI",2017,2371,142129,528,13924,2899,152881
"23","CI",2018,2290,111556,971,44521,3261,159201
"24","CI",2019,1655,80656,433,15129,2088,96721
"25","CI",2020,2237,60025,502,15625,2739,77841
"26","CI",2021,3699,441,949,251,4648,500
"27","NG",1996,602,10794,1460,79524,2062,90318
"28","NG",1997,460,7059,1397,79396,1857,86455
"29","NG",1998,1013,25805,799,38024,1812,63829
"30","NG",1999,950,17354,1646,60647,2596,78001
"31","NG",2000,1802,175013,2519,489659,4321,664672
"32","NG",2001,1101,16645,1118,29720,2219,46364
"33","NG",2002,1294,41898,1752,109832,3045,151730
"34","NG",2003,1327,24803,758,12758,2085,37561
"35","NG",2004,1458,30125,1452,50874,2910,80999
"36","NG",2005,2410,71559,1217,27450,3627,99009
"37","NG",2006,1554,19093,1328,34051,2882,53143
"38","NG",2007,2208,49150,2194,82247,4403,131397
"39","NG",2008,1877,24114,2165,79193,4042,103307
"40","NG",2009,1302,16416,1491,52765,2793,69182
"41","NG",2010,1199,10546,1386,36389,2585,46936
"42","NG",2011,1153,8114,1145,46320,2298,54435
"43","NG",2012,782,3909,864,21438,1646,25347
"44","NG",2013,1010,8151,1143,48884,2153,57036
"45","NG",2014,355,974,847,32502,1202,33476
"46","NG",2015,2325,53020,756,24050,3081,77070
"47","NG",2016,838,7470,580,17116,1418,24586
"48","NG",2017,424,3572,303,13111,727,16682
"49","NG",2018,983,17155,624,13878,1607,31033
"50","NG",2019,932,9525,931,71849,1863,81373
"51","PWS",1996,1589,99049,1014,27880,2603,102468
"52","PWS",1997,2431,153582,2046,292613,4477,348490
"53","PWS",1998,1960,106766,676,13829,2636,27778
"54","PWS",1999,1571,32390,1095,29813,2666,43278
"55","PWS",2000,2207,77966,1786,99749,3993,134369
"56","PWS",2001,3226,84522,1360,33826,4586,61218
"57","PWS",2002,2626,125636,1914,148892,4541,175680
"58","PWS",2003,2961,100362,2132,70708,5093,99541
"59","PWS",2004,3638,108249,2396,82659,6034,119404
"60","PWS",2005,3598,250246,2482,123596,6080,154944
"61","PWS",2006,5904,227277,2052,57568,7956,133812
"62","PWS",2007,8113,397340,3849,224303,11961,414795
"63","PWS",2008,6803,237138,4065,181153,10868,304442
"64","PWS",2009,6396,214353,3860,159809,10256,247557
"65","PWS",2010,8016,307866,3412,154494,11428,279230
"66","PWS",2011,5743,187827,3856,1200604,9599,1330467
"67","PWS",2012,6749,235491,2333,221246,9082,380407
"68","PWS",2013,4729,145202,2903,196555,7632,283670
"69","PWS",2014,5931,214856,2314,151168,8245,275524
"70","PWS",2015,3956,254673,1997,139624,5953,287476
"71","PWS",2016,4251,139709,1787,132174,6038,225425
"72","PWS",2017,3777,196235,1001,55221,4778,215800
"73","PWS",2018,3508,145589,1299,427726,4807,510866
"74","PWS",2019,3210,85794,1601,135407,4811,181416
"75","KOD",1996,496,18496,578,23716,1074,37249
"76","KOD",1997,343,32761,934,41616,1277,46656
"77","KOD",1998,636,34969,686,36864,1322,50625
"78","KOD",1999,912,65536,814,55696,1726,82944
"79","KOD",2000,717,30976,1249,64009,1966,84100
"80","KOD",2001,442,55225,1088,128881,1530,156025
"81","KOD",2002,390,33124,709,44521,1099,56644
"82","KOD",2003,585,40401,861,51076,1446,58081
"83","KOD",2004,1305,116281,1202,92416,2507,148996
"84","KOD",2005,1671,173056,933,92416,2604,259081
"85","KOD",2006,1921,118336,526,23409,2447,133956
"86","KOD",2007,1907,102400,1296,152100,3203,247009
"87","KOD",2008,2314,164836,1204,76176,3518,200704
"88","KOD",2009,1740,93636,1996,118336,3736,154449
"89","KOD",2010,2413,180625,1553,134689,3966,230400
"90","KOD",2011,2870,259081,1363,104329,4233,368449
"91","KOD",2012,2817,219024,1152,83521,3969,295936
"92","KOD",2013,2930,183184,1414,211600,4344,393129
"93","KOD",2014,3684,259081,750,37249,4434,297025
"94","KOD",2015,1789,107584,1156,83521,2945,195364
"95","KOD",2016,1845,114244,1051,81796,2896,192721
"96","KOD",2017,1982,136900,446,23716,2428,161604
"97","KOD",2018,2297,133956,1633,140625,3930,275625
